"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"MedicinalProduct.Contraindication.OtherTherapySpecifics","MedicinalProduct.Contraindication.OtherTherapySpecifics","","","",0,*,"","","","BackboneElement {[]} {[]}
","9.9.2.6","9.9.2.6","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Contraindication.OtherTherapySpecifics",0,*,"",""
"MedicinalProduct.Contraindication.OtherTherapySpecifics.TherapyRelationshipType","MedicinalProduct.Contraindication.OtherTherapySpecifics.TherapyRelationshipType","","","",1,1,"","","","CodeableConcept {[]} {[]}
","9.9.2.6.2","9.9.2.6.2","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Contraindication.OtherTherapySpecifics.TherapyRelationshipType",1,1,"",""
"MedicinalProduct.Contraindication.OtherTherapySpecifics.Medication","MedicinalProduct.Contraindication.OtherTherapySpecifics.Medication","","","",1,1,"","","","CodeableConcept {[]} {[]}
","9.9.2.6.3","9.9.2.6.3","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Contraindication.OtherTherapySpecifics.Medication",1,1,"",""
"MedicinalProduct.Contraindication.PopulationSpecifics","MedicinalProduct.Contraindication.PopulationSpecifics","","","",0,*,"","","","BackboneElement {[]} {[]}
","9.9.2.5","9.9.2.5","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Contraindication.PopulationSpecifics",0,*,"",""
"MedicinalProduct.Contraindication.PopulationSpecifics.Age","MedicinalProduct.Contraindication.PopulationSpecifics.Age","","","",0,1,"","","","CodeableConcept {[]} {[]}
","9.9.2.5.2","9.9.2.5.2","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Contraindication.PopulationSpecifics.Age",0,1,"",""
"MedicinalProduct.Contraindication.PopulationSpecifics.AgeRangeLow","MedicinalProduct.Contraindication.PopulationSpecifics.AgeRangeLow","","","",0,1,"","","","Quantity {[]} {[]}
","9.9.2.5.3","9.9.2.5.3","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Contraindication.PopulationSpecifics.AgeRangeLow",0,1,"",""
"MedicinalProduct.Contraindication.PopulationSpecifics.AgeRangeHigh","MedicinalProduct.Contraindication.PopulationSpecifics.AgeRangeHigh","","","",0,1,"","","","Quantity {[]} {[]}
","9.9.2.5.4","9.9.2.5.4","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Contraindication.PopulationSpecifics.AgeRangeHigh",0,1,"",""
"MedicinalProduct.Contraindication.PopulationSpecifics.Gender","MedicinalProduct.Contraindication.PopulationSpecifics.Gender","","","",0,1,"","","","CodeableConcept {[]} {[]}
","9.9.2.5.5","9.9.2.5.5","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Contraindication.PopulationSpecifics.Gender",0,1,"",""
"MedicinalProduct.Contraindication.PopulationSpecifics.Race","MedicinalProduct.Contraindication.PopulationSpecifics.Race","","","",0,1,"","","","CodeableConcept {[]} {[]}
","9.9.2.5.6","9.9.2.5.6","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Contraindication.PopulationSpecifics.Race",0,1,"",""
"MedicinalProduct.Contraindication.PopulationSpecifics.PhysiologicalCondition","MedicinalProduct.Contraindication.PopulationSpecifics.PhysiologicalCondition","","","",0,1,"","","","CodeableConcept {[]} {[]}
","9.9.2.5.7","9.9.2.5.7","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Contraindication.PopulationSpecifics.PhysiologicalCondition",0,1,"",""
"MedicinalProduct.Contraindication.TherapeuticIndication","MedicinalProduct.Contraindication.TherapeuticIndication","","","",0,*,"","","","BackboneElement {[]} {[]}
","9.9.2.2","9.9.2.2","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Contraindication.TherapeuticIndication",0,*,"",""
"MedicinalProduct.Contraindication.TherapeuticIndication.IndicationText","MedicinalProduct.Contraindication.TherapeuticIndication.IndicationText","","","",1,1,"","","","string {[]} {[]}
","9.9.2.2.2","9.9.2.2.2","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Contraindication.TherapeuticIndication.IndicationText",1,1,"",""
"MedicinalProduct.Contraindication.TherapeuticIndication.IndicationAsDisease-Symptom-Procedure","MedicinalProduct.Contraindication.TherapeuticIndication.IndicationAsDisease-Symptom-Procedure","","","",0,1,"","","","CodeableConcept {[]} {[]}
","9.9.2.2.3","9.9.2.2.3","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Contraindication.TherapeuticIndication.IndicationAsDisease-Symptom-Procedure",0,1,"",""
"MedicinalProduct.Contraindication.TherapeuticIndication.DiseaseStatus","MedicinalProduct.Contraindication.TherapeuticIndication.DiseaseStatus","","","",0,1,"","","","CodeableConcept {[]} {[]}
","9.9.2.2.4","9.9.2.2.4","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Contraindication.TherapeuticIndication.DiseaseStatus",0,1,"",""
"MedicinalProduct.Contraindication.TherapeuticIndication.Comorbidity","MedicinalProduct.Contraindication.TherapeuticIndication.Comorbidity","","","",0,*,"","","","CodeableConcept {[]} {[]}
","9.9.2.2.5","9.9.2.2.5","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Contraindication.TherapeuticIndication.Comorbidity",0,*,"",""
"MedicinalProduct.Contraindication.TherapeuticIndication.IntendedEffect","MedicinalProduct.Contraindication.TherapeuticIndication.IntendedEffect","","","",0,1,"","","","CodeableConcept {[]} {[]}
","9.9.2.2.6","9.9.2.2.6","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Contraindication.TherapeuticIndication.IntendedEffect",0,1,"",""
"MedicinalProduct.Contraindication.TherapeuticIndication.Timing-Duration","MedicinalProduct.Contraindication.TherapeuticIndication.Timing-Duration","","","",0,1,"","","","Quantity {[]} {[]}
","9.9.2.2.7","9.9.2.2.7","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Contraindication.TherapeuticIndication.Timing-Duration",0,1,"",""
"MedicinalProduct.Contraindication.TherapeuticIndication.OtherTherapySpecifics","MedicinalProduct.Contraindication.TherapeuticIndication.OtherTherapySpecifics","","","",0,*,"","","","BackboneElement {[]} {[]}
","9.9.2.6","9.9.2.6","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Contraindication.TherapeuticIndication.OtherTherapySpecifics",0,*,"",""
"MedicinalProduct.Contraindication.TherapeuticIndication.OtherTherapySpecifics.TherapyRelationshipType","MedicinalProduct.Contraindication.TherapeuticIndication.OtherTherapySpecifics.TherapyRelationshipType","","","",1,1,"","","","CodeableConcept {[]} {[]}
","9.9.2.6.2","9.9.2.6.2","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Contraindication.TherapeuticIndication.OtherTherapySpecifics.TherapyRelationshipType",1,1,"",""
"MedicinalProduct.Contraindication.TherapeuticIndication.OtherTherapySpecifics.Medication","MedicinalProduct.Contraindication.TherapeuticIndication.OtherTherapySpecifics.Medication","","","",1,1,"","","","CodeableConcept {[]} {[]}
","9.9.2.6.3","9.9.2.6.3","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Contraindication.TherapeuticIndication.OtherTherapySpecifics.Medication",1,1,"",""
"MedicinalProduct.Contraindication.TherapeuticIndication.PopulationSpecifics","MedicinalProduct.Contraindication.TherapeuticIndication.PopulationSpecifics","","","",1,*,"","","","BackboneElement {[]} {[]}
","9.9.2.5","9.9.2.5","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Contraindication.TherapeuticIndication.PopulationSpecifics",1,*,"",""
